user_id,gender,age,age_group,body_type,region,past_purchase_history,browsing_data,accessory_type,season,footwear_type,brand,color,style,outfit_id
1,Female,62,senior,Heavy,North,"['pant', 'shoe', 'shirt', 'hat']",ProductA,belt,Winter,flats,BrandB,Green,Formal,1
2,Other,60,young,Heavy,West,"['jacket', 'pant', 'shirt', 'shoe', 'hat']",ProductC,bracelet,Autumn,heels,BrandA,Black,Casual,2
3,Male,56,middle-aged,Slim,South,"['hat', 'jacket', 'shoe', 'pant']",ProductD,necklace,Autumn,sandals,BrandC,Blue,Sporty,3
4,Female,36,middle-aged,Athletic,North,['hat'],ProductE,watch,Autumn,heels,BrandA,White,Formal,4
5,Male,45,senior,Slim,West,"['shoe', 'shirt', 'jacket']",ProductE,bracelet,Summer,flats,BrandA,Blue,Sporty,5
6,Female,45,middle-aged,Heavy,North,"['shoe', 'hat']",ProductE,necklace,Autumn,sandals,BrandA,Green,Sporty,6
7,Male,66,middle-aged,Heavy,East,"['pant', 'shirt', 'jacket', 'shoe']",ProductB,sunglasses,Summer,sneakers,BrandB,Blue,Sporty,7
8,Other,36,middle-aged,Heavy,North,"['shirt', 'hat']",ProductC,bracelet,Summer,heels,BrandC,Red,Sporty,8
9,Other,67,young,Average,North,"['shirt', 'hat', 'shoe', 'jacket']",ProductA,bracelet,Winter,sneakers,BrandC,Green,Sporty,9
10,Female,55,middle-aged,Slim,East,"['shirt', 'shoe', 'jacket']",ProductA,watch,Spring,heels,BrandA,White,Elegant,10
11,Male,42,middle-aged,Slim,East,"['pant', 'shoe', 'jacket', 'shirt']",ProductA,belt,Autumn,sneakers,BrandD,White,Formal,11
12,Male,28,young,Athletic,East,['hat'],ProductE,bracelet,Winter,flats,BrandA,White,Elegant,12
13,Female,49,senior,Heavy,North,"['jacket', 'hat']",ProductD,necklace,Spring,sandals,BrandB,Red,Casual,13
14,Male,52,senior,Average,West,"['pant', 'shoe', 'shirt', 'jacket', 'hat']",ProductE,watch,Summer,heels,BrandC,Black,Casual,14
15,Other,29,senior,Average,South,"['shirt', 'hat']",ProductA,belt,Summer,heels,BrandD,Red,Casual,15
16,Male,68,middle-aged,Slim,West,['hat'],ProductC,sunglasses,Spring,sneakers,BrandB,Blue,Casual,16
17,Other,53,senior,Athletic,North,['jacket'],ProductB,bracelet,Winter,heels,BrandB,White,Formal,17
18,Male,70,young,Slim,East,"['shoe', 'shirt', 'pant']",ProductE,sunglasses,Winter,heels,BrandB,Green,Formal,18
19,Male,29,middle-aged,Heavy,East,"['shoe', 'hat', 'jacket', 'pant']",ProductA,belt,Summer,sneakers,BrandD,Blue,Casual,19
20,Male,60,middle-aged,Average,North,"['shirt', 'hat', 'jacket']",ProductC,belt,Autumn,sandals,BrandB,Green,Formal,20
21,Female,30,young,Slim,South,"['hat', 'pant', 'shoe']",ProductB,watch,Autumn,sandals,BrandB,White,Casual,21
22,Male,29,senior,Slim,North,"['shoe', 'pant', 'hat', 'jacket', 'shirt']",ProductC,belt,Spring,flats,BrandB,Blue,Elegant,22
23,Other,24,middle-aged,Average,West,"['jacket', 'shirt', 'shoe', 'hat', 'pant']",ProductA,belt,Summer,sneakers,BrandD,White,Casual,23
24,Female,47,middle-aged,Average,South,"['pant', 'shoe', 'hat', 'jacket', 'shirt']",ProductB,watch,Autumn,sneakers,BrandC,Red,Casual,24
25,Other,54,senior,Average,East,"['pant', 'hat', 'shirt', 'shoe', 'jacket']",ProductD,belt,Winter,sandals,BrandD,Blue,Sporty,25
26,Male,25,senior,Slim,East,"['shoe', 'jacket', 'pant', 'shirt']",ProductE,bracelet,Summer,flats,BrandB,Red,Formal,26
